Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
33,33,étaient,were
34,36,pourrais,could
35,37,affaire,case
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,train,train
40,42,corps,body
41,43,endroit,place
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,47,dont,whose
46,48,premier,first
47,49,perdu,lost
48,50,main,hand
49,51,première,first
50,52,côté,side
51,53,pouvoir,power
52,54,vieux,old
53,55,sois,be
54,56,tiens,here
55,57,matin,morning
56,58,tellement,so much
57,59,venu,came
58,60,suite,after
59,61,pardon,sorry
60,62,venez,come
61,64,vers,towards
62,65,demandé,request
63,66,chambre,bedroom
64,67,mis,placed
65,68,belle,beautiful
66,69,droit,law
67,70,aimerais,would like to
68,71,aujourd'hui,today
69,72,mari,husband
70,73,cause,cause
71,74,enfin,finally
72,75,eau,water
73,76,attendez,Wait
74,77,parti,left
75,78,nouvelle,new
76,79,boulot,job
77,80,arrêter,Stop
78,81,dirait,would say
79,82,terre,Earth
80,83,compte,account
81,84,donne,given
82,85,loin,far
83,86,fin,end
84,87,croire,believe
85,88,chérie,sweetheart
86,89,gros,large
87,90,plutôt,rather
88,91,aura,will have
89,92,filles,girls
90,93,jouer,to play
91,94,bureau,office
